iter	Passed	Remaining
0	4	4672
1	10	5126
2	15	5226
3	21	5336
4	26	5298
5	32	5373
6	38	5433
7	44	5522
8	49	5495
9	55	5468
10	60	5453
11	66	5491
12	72	5472
13	77	5477
14	83	5455
15	88	5442
16	93	5411
17	98	5385
18	104	5374
19	109	5350
20	114	5326
21	119	5302
22	124	5268
23	128	5241
24	133	5222
25	138	5199
26	143	5184
27	147	5117
28	152	5101
29	157	5081
30	161	5057
31	166	5043
32	171	5031
33	175	4990
34	181	5004
35	185	4978
36	191	4974
37	194	4936
38	199	4924
39	205	4925
40	209	4911
41	215	4913
42	220	4911
43	226	4914
44	231	4906
45	236	4900
46	241	4888
47	246	4885
48	251	4878
49	256	4866
50	261	4858
51	265	4847
52	270	4837
53	275	4831
54	280	4825
55	285	4815
56	290	4809
57	294	4787
58	299	4780
59	304	4771
60	309	4760
61	314	4755
62	319	4744
63	324	4741
64	329	4735
65	334	4727
66	338	4719
67	343	4713
68	350	4724
69	355	4722
70	360	4714
71	365	4712
72	371	4711
73	376	4712
74	381	4704
75	386	4698
76	391	4695
77	396	4688
78	402	4690
79	407	4688
80	412	4682
81	417	4677
82	423	4675
83	428	4672
84	433	4668
85	438	4660
86	443	4652
87	448	4651
88	453	4645
89	458	4632
90	463	4629
91	468	4622
92	473	4617
93	478	4609
94	483	4603
95	488	4601
96	494	4599
97	499	4596
98	505	4596
99	510	4590
100	515	4586
101	520	4582
102	526	4582
103	531	4577
104	536	4572
105	541	4566
106	546	4558
107	551	4555
108	556	4551
109	562	4548
110	567	4542
111	571	4534
112	578	4539
113	584	4545
114	589	4533
115	594	4527
116	599	4521
117	603	4512
118	608	4506
119	613	4499
120	618	4489
121	623	4483
122	627	4476
123	632	4470
124	638	4466
125	642	4459
126	647	4453
127	653	4448
128	657	4441
129	662	4436
130	667	4430
131	672	4424
132	677	4417
133	681	4405
134	686	4400
135	692	4396
136	696	4384
137	701	4380
138	705	4367
139	709	4359
140	714	4354
141	719	4349
142	725	4345
143	730	4340
144	735	4335
145	740	4331
146	745	4327
147	750	4318
148	755	4314
149	760	4308
150	766	4307
151	771	4303
152	776	4300
153	781	4292
154	786	4285
155	791	4281
156	795	4273
157	799	4263
158	804	4256
159	809	4251
160	814	4242
161	819	4237
162	823	4227
163	828	4221
164	832	4214
165	837	4208
166	843	4207
167	848	4201
168	853	4196
169	858	4192
170	862	4183
171	868	4179
172	873	4174
173	879	4173
174	884	4167
175	889	4163
176	895	4162
177	900	4159
178	905	4153
179	910	4146
180	915	4142
181	927	4168
182	935	4175
183	941	4173
184	948	4179
185	954	4178
186	960	4176
187	965	4171
188	971	4170
189	976	4161
190	980	4154
191	986	4150
192	991	4145
193	995	4136
194	1000	4131
195	1005	4125
196	1010	4119
197	1015	4113
198	1020	4109
199	1025	4103
200	1030	4098
201	1035	4092
202	1040	4086
203	1046	4081
204	1051	4077
205	1055	4069
206	1060	4064
207	1065	4058
208	1070	4052
209	1076	4048
210	1082	4046
211	1087	4041
212	1092	4036
213	1097	4030
214	1102	4025
215	1107	4019
216	1112	4014
217	1117	4008
218	1122	4004
219	1127	3999
220	1133	3994
221	1138	3989
222	1143	3984
223	1148	3979
224	1153	3974
225	1159	3969
226	1164	3966
227	1169	3961
228	1174	3955
229	1180	3952
230	1185	3945
231	1190	3939
232	1194	3931
233	1198	3923
234	1203	3917
235	1207	3909
236	1212	3903
237	1216	3895
238	1221	3888
239	1226	3884
240	1231	3878
241	1237	3874
242	1242	3869
243	1247	3864
244	1252	3859
245	1257	3855
246	1263	3850
247	1267	3842
248	1272	3837
249	1277	3831
250	1283	3828
251	1288	3824
252	1293	3819
253	1297	3810
254	1303	3807
255	1308	3802
256	1313	3797
257	1319	3793
258	1324	3789
259	1331	3788
260	1336	3783
261	1341	3779
262	1346	3773
263	1351	3768
264	1356	3763
265	1361	3755
266	1366	3750
267	1371	3745
268	1374	3735
269	1379	3729
270	1384	3724
271	1389	3718
272	1394	3712
273	1398	3705
274	1403	3699
275	1408	3694
276	1412	3687
277	1418	3683
278	1422	3677
279	1427	3671
280	1432	3665
281	1437	3660
282	1442	3654
283	1447	3649
284	1453	3645
285	1457	3639
286	1462	3634
287	1467	3628
288	1472	3623
289	1478	3619
290	1483	3613
291	1489	3610
292	1494	3605
293	1499	3600
294	1504	3595
295	1509	3591
296	1515	3586
297	1519	3580
298	1524	3573
299	1529	3568
300	1534	3563
301	1539	3557
302	1544	3552
303	1549	3547
304	1553	3540
305	1561	3541
306	1567	3538
307	1572	3533
308	1577	3528
309	1582	3523
310	1587	3517
311	1592	3512
312	1598	3507
313	1603	3502
314	1608	3497
315	1613	3492
316	1618	3486
317	1624	3482
318	1629	3478
319	1634	3473
320	1654	3500
321	1663	3502
322	1672	3505
323	1680	3506
324	1686	3502
325	1697	3509
326	1708	3516
327	1715	3515
328	1723	3515
329	1730	3512
330	1737	3511
331	1744	3510
332	1752	3510
333	1760	3509
334	1766	3505
335	1772	3503
336	1778	3499
337	1783	3493
338	1789	3490
339	1796	3487
340	1801	3481
341	1806	3475
342	1812	3470
343	1817	3465
344	1822	3459
345	1827	3454
346	1831	3447
347	1836	3440
348	1841	3434
349	1846	3428
350	1851	3423
351	1856	3418
352	1861	3411
353	1866	3406
354	1871	3400
355	1876	3394
356	1881	3389
357	1887	3384
358	1892	3378
359	1896	3371
360	1901	3365
361	1906	3360
362	1911	3354
363	1916	3348
364	1921	3342
365	1925	3336
366	1930	3330
367	1935	3324
368	1940	3318
369	1945	3312
370	1950	3306
371	1955	3301
372	1959	3294
373	1965	3289
374	1970	3283
375	1975	3278
376	1980	3272
377	1984	3266
378	1989	3259
379	1994	3254
380	2000	3250
381	2005	3245
382	2010	3239
383	2015	3233
384	2020	3227
385	2025	3221
386	2030	3216
387	2035	3210
388	2039	3203
389	2044	3198
390	2049	3192
391	2054	3186
392	2059	3181
393	2064	3175
394	2069	3170
395	2074	3164
396	2079	3159
397	2085	3153
398	2090	3149
399	2096	3144
400	2101	3139
401	2106	3133
402	2111	3128
403	2117	3123
404	2122	3117
405	2127	3112
406	2132	3107
407	2137	3101
408	2142	3095
409	2147	3089
410	2152	3084
411	2157	3079
412	2162	3074
413	2167	3067
414	2172	3062
415	2177	3057
416	2182	3051
417	2187	3046
418	2192	3040
419	2198	3035
420	2204	3031
421	2209	3025
422	2214	3020
423	2219	3014
424	2224	3009
425	2229	3003
426	2234	2998
427	2239	2992
428	2244	2988
429	2250	2982
430	2255	2977
431	2260	2971
432	2264	2965
433	2268	2958
434	2273	2953
435	2278	2947
436	2284	2942
437	2289	2937
438	2293	2931
439	2298	2925
440	2304	2920
441	2309	2915
442	2313	2909
443	2318	2903
444	2323	2898
445	2327	2891
446	2332	2886
447	2338	2880
448	2342	2874
449	2347	2868
450	2352	2863
451	2357	2858
452	2361	2851
453	2367	2846
454	2372	2841
455	2376	2835
456	2381	2829
457	2387	2824
458	2391	2819
459	2397	2813
460	2402	2808
461	2406	2802
462	2412	2797
463	2417	2792
464	2422	2787
465	2427	2781
466	2432	2776
467	2437	2770
468	2442	2765
469	2447	2760
470	2453	2755
471	2458	2750
472	2464	2745
473	2468	2739
474	2473	2733
475	2478	2728
476	2483	2723
477	2489	2718
478	2494	2712
479	2499	2707
480	2504	2702
481	2510	2697
482	2515	2692
483	2520	2686
484	2525	2681
485	2530	2676
486	2536	2671
487	2541	2666
488	2546	2661
489	2551	2656
490	2556	2650
491	2562	2645
492	2566	2639
493	2571	2633
494	2576	2628
495	2581	2622
496	2585	2616
497	2590	2611
498	2595	2606
499	2601	2601
500	2606	2595
501	2611	2590
502	2615	2584
503	2619	2578
504	2625	2573
505	2630	2568
506	2635	2562
507	2640	2557
508	2645	2552
509	2650	2546
510	2655	2541
511	2661	2536
512	2666	2531
513	2672	2526
514	2677	2521
515	2680	2514
516	2686	2509
517	2691	2504
518	2696	2498
519	2700	2493
520	2705	2487
521	2710	2481
522	2715	2476
523	2720	2471
524	2725	2465
525	2730	2460
526	2735	2455
527	2741	2450
528	2746	2445
529	2751	2440
530	2756	2435
531	2762	2430
532	2767	2425
533	2772	2419
534	2777	2413
535	2782	2408
536	2787	2403
537	2792	2398
538	2798	2393
539	2803	2387
540	2807	2382
541	2812	2376
542	2817	2371
543	2822	2365
544	2826	2359
545	2831	2354
546	2836	2349
547	2841	2344
548	2847	2338
549	2852	2333
550	2857	2328
551	2861	2322
552	2866	2317
553	2872	2312
554	2876	2306
555	2882	2301
556	2887	2296
557	2891	2290
558	2896	2284
559	2901	2279
560	2906	2274
561	2911	2269
562	2917	2264
563	2922	2259
564	2927	2254
565	2932	2248
566	2938	2243
567	2943	2238
568	2948	2233
569	2953	2228
570	2958	2222
571	2964	2218
572	2969	2212
573	2974	2207
574	2979	2201
575	2983	2196
576	2988	2190
577	2992	2184
578	2997	2179
579	3002	2174
580	3007	2169
581	3013	2164
582	3018	2159
583	3023	2153
584	3029	2148
585	3034	2143
586	3039	2138
587	3044	2133
588	3050	2128
589	3055	2123
590	3061	2118
591	3065	2112
592	3070	2107
593	3075	2102
594	3085	2100
595	3090	2094
596	3095	2089
597	3100	2084
598	3105	2078
599	3110	2073
600	3115	2068
601	3120	2063
602	3125	2058
603	3131	2052
604	3136	2047
605	3141	2042
606	3146	2037
607	3151	2031
608	3156	2026
609	3161	2021
610	3166	2016
611	3171	2010
612	3177	2005
613	3181	1999
614	3186	1994
615	3191	1989
616	3197	1984
617	3202	1979
618	3207	1974
619	3212	1969
620	3218	1963
621	3223	1959
622	3229	1954
623	3235	1949
624	3240	1944
625	3245	1939
626	3251	1934
627	3256	1928
628	3260	1923
629	3266	1918
630	3271	1912
631	3276	1907
632	3281	1902
633	3287	1897
634	3292	1892
635	3312	1895
636	3318	1890
637	3323	1885
638	3329	1881
639	3340	1878
640	3345	1873
641	3350	1868
642	3355	1863
643	3360	1857
644	3365	1852
645	3369	1846
646	3374	1840
647	3379	1835
648	3383	1830
649	3388	1824
650	3393	1819
651	3398	1813
652	3403	1808
653	3407	1802
654	3412	1797
655	3417	1792
656	3422	1786
657	3428	1781
658	3433	1776
659	3438	1771
660	3443	1766
661	3449	1761
662	3455	1756
663	3461	1751
664	3466	1746
665	3471	1740
666	3475	1735
667	3481	1730
668	3485	1724
669	3491	1719
670	3496	1714
671	3502	1709
672	3507	1704
673	3512	1699
674	3517	1693
675	3522	1688
676	3530	1684
677	3536	1679
678	3541	1674
679	3546	1669
680	3552	1664
681	3557	1658
682	3563	1653
683	3568	1648
684	3573	1643
685	3578	1637
686	3583	1632
687	3588	1627
688	3593	1622
689	3599	1617
690	3604	1611
691	3610	1606
692	3615	1601
693	3620	1596
694	3625	1591
695	3630	1585
696	3636	1580
697	3641	1575
698	3647	1570
699	3652	1565
700	3658	1560
701	3662	1554
702	3668	1549
703	3674	1544
704	3678	1539
705	3683	1533
706	3688	1528
707	3693	1523
708	3697	1517
709	3702	1512
710	3708	1507
711	3712	1501
712	3717	1496
713	3723	1491
714	3727	1485
715	3733	1480
716	3738	1475
717	3743	1470
718	3748	1464
719	3752	1459
720	3758	1454
721	3762	1448
722	3767	1443
723	3772	1438
724	3777	1432
725	3781	1427
726	3786	1421
727	3791	1416
728	3797	1411
729	3802	1406
730	3807	1401
731	3812	1395
732	3817	1390
733	3822	1385
734	3827	1379
735	3832	1374
736	3837	1369
737	3842	1364
738	3847	1358
739	3851	1353
740	3857	1348
741	3862	1342
742	3867	1337
743	3872	1332
744	3878	1327
745	3883	1322
746	3887	1316
747	3892	1311
748	3897	1306
749	3902	1300
750	3908	1295
751	3913	1290
752	3917	1285
753	3923	1279
754	3928	1274
755	3933	1269
756	3958	1270
757	3967	1266
758	3975	1262
759	3983	1257
760	3992	1253
761	4001	1249
762	4006	1244
763	4011	1239
764	4020	1234
765	4028	1230
766	4034	1225
767	4042	1221
768	4049	1216
769	4056	1211
770	4063	1206
771	4069	1201
772	4076	1197
773	4082	1191
774	4088	1187
775	4095	1182
776	4100	1176
777	4105	1171
778	4111	1166
779	4116	1161
780	4121	1155
781	4127	1150
782	4131	1145
783	4137	1139
784	4142	1134
785	4147	1129
786	4152	1123
787	4157	1118
788	4163	1113
789	4168	1108
790	4173	1102
791	4178	1097
792	4183	1092
793	4189	1086
794	4194	1081
795	4199	1076
796	4204	1071
797	4210	1065
798	4215	1060
799	4220	1055
800	4225	1049
801	4229	1044
802	4235	1038
803	4239	1033
804	4245	1028
805	4250	1023
806	4255	1017
807	4261	1012
808	4267	1007
809	4272	1002
810	4276	996
811	4281	991
812	4286	985
813	4291	980
814	4296	975
815	4301	970
816	4306	964
817	4311	959
818	4316	953
819	4321	948
820	4325	943
821	4330	937
822	4335	932
823	4341	927
824	4346	921
825	4352	916
826	4357	911
827	4362	906
828	4367	900
829	4372	895
830	4377	890
831	4382	885
832	4387	879
833	4392	874
834	4397	868
835	4402	863
836	4406	858
837	4411	852
838	4416	847
839	4421	842
840	4427	837
841	4432	831
842	4437	826
843	4442	821
844	4447	815
845	4452	810
846	4457	805
847	4462	799
848	4468	794
849	4472	789
850	4478	784
851	4483	778
852	4490	773
853	4495	768
854	4501	763
855	4506	758
856	4511	752
857	4515	747
858	4520	741
859	4525	736
860	4534	731
861	4542	727
862	4548	722
863	4555	717
864	4562	712
865	4567	706
866	4574	701
867	4580	696
868	4585	691
869	4590	685
870	4595	680
871	4601	675
872	4606	670
873	4611	664
874	4615	659
875	4620	654
876	4625	648
877	4630	643
878	4635	638
879	4640	632
880	4645	627
881	4650	622
882	4656	616
883	4661	611
884	4666	606
885	4671	601
886	4676	595
887	4681	590
888	4686	585
889	4691	579
890	4697	574
891	4702	569
892	4707	564
893	4711	558
894	4716	553
895	4721	548
896	4726	542
897	4731	537
898	4737	532
899	4743	527
900	4748	521
901	4753	516
902	4758	511
903	4763	505
904	4768	500
905	4773	495
906	4777	489
907	4782	484
908	4788	479
909	4792	473
910	4797	468
911	4802	463
912	4807	458
913	4812	452
914	4817	447
915	4822	442
916	4826	436
917	4831	431
918	4836	426
919	4841	420
920	4845	415
921	4850	410
922	4857	405
923	4863	399
924	4869	394
925	4874	389
926	4879	384
927	4885	379
928	4891	373
929	4896	368
930	4901	363
931	4906	357
932	4911	352
933	4917	347
934	4921	342
935	4926	336
936	4932	331
937	4936	326
938	4942	321
939	4947	315
940	4953	310
941	4958	305
942	4963	300
943	4968	294
944	4973	289
945	4978	284
946	4983	278
947	4989	273
948	4994	268
949	4999	263
950	5004	257
951	5010	252
952	5015	247
953	5020	242
954	5025	236
955	5031	231
956	5036	226
957	5041	221
958	5046	215
959	5051	210
960	5056	205
961	5062	199
962	5066	194
963	5070	189
964	5075	184
965	5080	178
966	5085	173
967	5090	168
968	5095	163
969	5100	157
970	5105	152
971	5110	147
972	5116	141
973	5121	136
974	5126	131
975	5131	126
976	5137	120
977	5142	115
978	5147	110
979	5153	105
980	5158	99
981	5162	94
982	5167	89
983	5172	84
984	5178	78
985	5183	73
986	5188	68
987	5193	63
988	5199	57
989	5204	52
990	5208	47
991	5213	42
992	5218	36
993	5223	31
994	5229	26
995	5234	21
996	5239	15
997	5245	10
998	5250	5
999	5255	0
